25.71	4	0.40565	0.1562051216
25.63	3.8	0.40445	0.1516444526
25.35	3.6	0.40025	0.1471870918
25.15	3.4	0.39725	0.1428427107
24.89	3.2	0.39335	0.1386219319
24.58	3	0.3887	0.1029564957
24.39	2.8	0.38585	0.09775499987
24.11	2.6	0.38165	0.09265009444
23.85	2.4	0.37775	0.08765865616
23.63	2.2	0.37445	0.08280120772
23.32	2	0.3698	0.07810275283
23.03	1.8	0.36545	0.07359374973
22.74	1.6	0.3611	0.06931118236
22.47	1.4	0.35705	0.06529961715
22.17	1.2	0.35255	0.06161201182
21.84	1	0.3476	0.05830986194
21.7	0.96	0.3455	0.03506394159
21.62	0.92	0.3443	0.0340851874
21.47	0.84	0.34205	0.0321726592
21.38	0.8	0.3407	0.03124163888
21.27	0.76	0.33905	0.03032952357
21.19	0.72	0.33785	0.02943807059
20.86	0.6	0.3329	0.02690799138
19.46	0.4	0.3119	0.01300153837
13.83	0.2	0.22745	0.007812809994
0.47	0.04	0.02705	0.002340939982
